tokens,time- exitRight,time- exitLeft,,,,,,,,,,,
137,217.1867,2740.0817,,,,,,,,,,,
138,219.0592,2744.0828,,,,,,,,,,,
139,223.2308,2787.3245,,,,,,,,,,,
140,231.0097,2789.879,,,,,,,,,,,
141,237.1666,2792.6475,,,,,,,,,,,
142,238.6338,2803.7168,,,,,,,,,,,
143,238.8514,2811.6725,,,,,,,,,,,
144,255.7579,2826.4508,,,,,,,,,,,
145,261.0858,2832.2057,,,,,,,,,,,
146,273.6411,2870.9367,,,,,,,,,,,
147,280.9872,2927.9574,,,,,,,,,,,
148,281.0984,2965.3866,,,,,,,,,,,
149,282.8254,2987.0114,,,,,,,,,,,
150,287.4624,3029.9953,,,,,,,,,,,
151,294.0313,3043.1251,,,,,,,,,,,
152,307.3818,3060.7336,,,,,,,,,,,
153,311.5177,3075.1359,,,,,,,,,,,
154,337.0669,3195.8629,,,,,,,,,,,
155,351.0185,3207.7419,,,,,,,,,,,
156,378.4467,3249.822,,,,,,,,,,,
157,387.9808,3301.1823,,,,,,,,,,,
158,435.236,3303.2369,,,,,,,,,,,
159,443.5772,3317.7333,,,,,,,,,,,
160,593.3844,3318.7821,,,,,,,,,,,
161,654.0026,3353.9426,,,,,,,,,,,
162,685.0699,3354.4773,,,,,,,,,,,
163,756.8123,3380.6345,,,,,,,,,,,
164,797.0184,3381.0873,,,,,,,,,,,
165,846.6369,3406.1791,,,,,,,,,,,
166,861.5821,3471.2559,,,,,,,,,,,
167,907.3036,3485.7389,,,,,,,,,,,
168,910.1393,3495.2383,,,,,,,,,,,
169,964.6215,3546.4465,,,,,,,,,,,
170,967.8446,3575.2204,,,,,,,,,,,
171,970.8697,3583.4913,,,,,,,,,,,
172,975.1344,3599.9891,,,,,,,,,,,
173,1002.8927,,,,,,,,,,,,
174,1029.258,,,,,,,,,,,,
175,1105.9019,,,,,,,,,,,,
176,1147.8373,,,,,,,,,,,,
177,1190.8019,,,,,,,,,,,,
178,1207.6293,,,,,,,,,,,,
179,1209.4347,,,,,,,,,,,,
180,1210.5403,,,,,,,,,,,,
181,1229.9999,,,,,,,,,,,,
182,1302.0179,,,,,,,,,,,,
183,1328.1505,,,,,,,,,,,,
184,1357.191,,,,,,,,,,,,
185,1420.2457,,,,,,,,,,,,
186,1427.2843,,,,,,,,,,,,
187,1447.1827,,,,,,,,,,,,
188,1523.9184,,,,,,,,,,,,First line where ExitRight is either empty or no longer changed: First line where ExitRight is either empty or no longer changed: 
189,1551.0062,,,,,,,,,,,,
190,1569.4175,,,,,,,,,,,,
191,1639.2633,,,,,,,,,,,,
192,1650.6495,,,,,,,,,,,,
193,1683.8096,,,,,,,,,,,,
194,1690.938,,,,,,,,,,,,
195,1691.7503,,,,,,,,,,,,
196,1694.9108,,,,,,,,,,,,
197,1748.2216,,,,,,,,,,,,
198,1775.7401,,,,,,,,,,,,
199,1995.3842,,,,,,,,,,,,
200,2064.7151,,,,,,,,,,,,
201,2076.4173,,,,,,,,,,,,
202,2153.5019,,,,,,,,,,,,
203,2182.7824,,,,,,,,,,,,
204,2186.2034,,,,,,,,,,,,
205,2188.2304,,,,,,,,,,,,
206,2233.9202,,,,,,,,,,,,
207,2245.7775,,,,,,,,,,,,
208,2295.172,,,,,,,,,,,,
209,2324.5918,,,,,,,,,,,,
210,2389.9604,,,,,,,,,,,,
211,2421.9855,,,,,,,,,,,,
212,2432.1506,,,,,,,,,,,,
213,2438.3386,,,,,,,,,,,,
214,2519.0225,,,,,,,,,,,,
215,2551.5227,,,,,,,,,,,,
216,2574.1886,,,,,,,,,,,,
217,2664.7291,,,,,,,,,,,,
